event_type,key,timestamp
D,16,1726483799505577900
D,73,1726483799509770600
U,16,1726483799540540700
U,73,1726483799568964900
D,32,1726483799679796500
U,32,1726483799727244800
D,84,1726483799788691400
D,82,1726483799885766500
U,84,1726483799955106600
U,82,1726483799976122300
D,73,1726483800009712700
D,69,1726483800091504900
U,73,1726483800119064400
U,69,1726483800201616000
D,68,1726483800274968800
U,68,1726483800366469900
D,32,1726483800394503600
U,32,1726483800421312700
D,83,1726483800471742100
D,79,1726483800585517600
U,83,1726483800613474400
U,79,1726483800696750800
D,32,1726483800833569900
U,32,1726483800888629300
D,72,1726483800938963200
U,72,1726483801052171600
D,65,1726483801055533400
U,65,1726483801136717200
D,82,1726483801219604100
U,82,1726483801302305600
D,68,1726483801384819600
D,32,1726483801485477800
U,68,1726483801521221300
U,32,1726483801545058200
D,65,1726483801576234900
D,78,1726483801660268300
U,65,1726483801686645500
U,78,1726483801739024300
D,68,1726483801770172100
U,68,1726483801852481400
D,32,1726483801875056400
U,32,1726483801963072300
D,71,1726483802209248200
D,79,1726483802292076400
U,71,1726483802319127000
U,79,1726483802402704900
D,84,1726483802454973300
U,84,1726483802535922800
D,32,1726483802564786900
U,32,1726483802621011800
D,83,1726483802733169500
D,79,1726483802787292900
U,83,1726483802814074400
U,79,1726483802869344700
D,32,1726483803003462200
U,32,1726483803089181900
D,70,1726483803200884600
U,70,1726483803282281000
D,65,1726483803391620900
U,65,1726483803475467800
D,82,1726483803556895400
U,82,1726483803721805300
D,66,1726483804737562300
U,66,1726483804820229200
D,85,1726483804872168300
U,85,1726483804959585300
D,84,1726483804986505400
U,84,1726483805041819500
D,32,1726483805089449300
U,32,1726483805123275400
D,73,1726483805206528000
U,73,1726483805289447000
D,78,1726483805372133800
U,78,1726483805425555100
D,32,1726483805536351400
U,32,1726483805587853600
D,84,1726483805620023200
U,84,1726483805703505600
D,72,1726483805724561600
U,72,1726483805785291500
D,69,1726483805810313100
D,32,1726483805895772400
U,69,1726483805921672500
U,32,1726483806004317100
D,69,1726483806167247900
U,69,1726483806253298700
D,78,1726483806275760600
U,78,1726483806361979900
D,68,1726483806361979900
U,68,1726483806445779500
D,32,1726483806492355100
U,32,1726483806526038700
D,73,1726483806718714800
U,73,1726483806819678400
D,84,1726483806857733500
U,84,1726483806912847000
D,32,1726483807018352600
U,32,1726483807049153600
D,68,1726483807076605400
U,68,1726483807215851300
D,79,1726483807216458900
U,79,1726483807325127300
D,69,1726483807326163400
U,69,1726483807374868400
D,83,1726483807463575000
U,83,1726483807569591700
D,78,1726483807682603000
U,78,1726483807737126700
D,39,1726483807899488700
D,84,1726483807984165000
U,39,1726483808008562900
U,84,1726483808094054200
D,32,1726483808203867800
U,32,1726483808286951200
D,69,1726483808339393900
U,69,1726483808452144600
D,86,1726483808535129700
D,69,1726483808562063600
U,86,1726483808645916100
D,78,1726483808646928100
U,69,1726483808697144800
U,78,1726483808725764600
D,32,1726483808863003200
U,32,1726483808891515100
D,77,1726483808974453000
D,65,1726483809022371000
U,77,1726483809056691500
U,65,1726483809139507500
D,84,1726483809521090300
U,84,1726483809570410300
D,84,1726483810182308700
U,84,1726483810267251400
D,69,1726483810350971500
D,82,1726483810420755400
U,69,1726483810515674000
U,82,1726483810624123200
D,16,1726483811888392000
D,73,1726483812052363300
U,73,1726483812162872900
U,16,1726483812248533200
D,32,1726483812385491400
U,32,1726483812440169600
D,72,1726483812549701300
U,72,1726483812632240100
D,65,1726483812633626100
U,65,1726483812770396200
D,68,1726483812823504200
U,68,1726483812907624400
D,32,1726483812935082800
U,32,1726483813018311100
D,84,1726483813089624600
D,79,1726483813181718100
U,84,1726483813237985200
U,79,1726483813319941400
D,32,1726483813512321700
U,32,1726483813594795700
D,70,1726483814117925700
U,70,1726483814187632500
D,65,1726483814272466200
D,76,1726483814392524000
U,65,1726483814420691400
U,76,1726483814473399800
D,76,1726483814502659900
U,76,1726483814584386300
D,32,1726483814719960700
U,32,1726483814804304600
D,84,1726483814888136200
U,84,1726483814969985200
D,79,1726483814971492600
U,79,1726483815100911600
D,32,1726483815155247200
U,32,1726483815215568900
D,76,1726483815299286600
U,76,1726483815382481300
D,79,1726483815464382100
D,83,1726483815539825700
U,79,1726483815539825700
U,83,1726483815602281100
D,69,1726483815703173100
U,69,1726483815795940700
D,32,1726483815839907200
U,32,1726483815851994200
D,73,1726483815953741000
U,73,1726483816042486100
D,84,1726483816069852800
